payout,currency,user_id,sale_amount,datetime,shop_name,shop_offset_hour
0.8963414634146342,THB,2rI1Fi2Uez,21.00,2020-02-02 14:38:27,SE,0
57.88000000000001,THB,nsu5SsQOVR,1560.00,2020-02-02 16:22:27,SE,0
1.5186407766990293,THB,2rI1Fi2Uez,66.00,2020-02-02 14:38:27,SE,0
0.8513592233009709,THB,2rI1Fi2Uez,37.00,2020-02-02 14:38:27,SE,0
0.68,THB,30xuYjIn4G,75.00,2020-02-02 16:17:50,SE,0
3.5245,THB,3C163nMNHH,95.00,2020-02-02 10:35:30,SE,0
3.8955,THB,3C163nMNHH,105.00,2020-02-02 10:35:30,SE,0
0.14769230769230768,THB,zMtCKMZlCy,10.00,2020-02-02 12:48:23,SE,0
0.14769230769230768,THB,zMtCKMZlCy,10.00,2020-02-02 12:48:23,SE,0
1.17,THB,1wMMM6ncEH,129.00,2020-02-02 12:47:38,SE,0
0.14769230769230768,THB,zMtCKMZlCy,10.00,2020-02-02 12:48:23,SE,0
0.14769230769230768,THB,zMtCKMZlCy,10.00,2020-02-02 12:48:23,SE,0
0.14769230769230768,THB,zMtCKMZlCy,10.00,2020-02-02 12:48:23,SE,0
0.29538461538461536,THB,zMtCKMZlCy,20.00,2020-02-02 12:48:23,SE,0
0.15,THB,3Fnw8tI5XX,17.00,2020-02-02 10:34:14,SE,0
0.14769230769230768,THB,zMtCKMZlCy,10.00,2020-02-02 12:48:23,SE,0
0.15,THB,3Fnw8tI5XX,17.00,2020-02-02 10:34:14,SE,0
0.29538461538461536,THB,zMtCKMZlCy,20.00,2020-02-02 12:48:23,SE,0
0.15,THB,3Fnw8tI5XX,17.00,2020-02-02 10:34:14,SE,0
0.85,THB,2H9jCOUmMT,58.00,2020-02-02 16:19:52,SE,0
0.29538461538461536,THB,zMtCKMZlCy,20.00,2020-02-02 12:48:23,SE,0
0.15,THB,3Fnw8tI5XX,17.00,2020-02-02 10:34:14,SE,0
0.14769230769230768,THB,zMtCKMZlCy,10.00,2020-02-02 12:48:23,SE,0
0.29538461538461536,THB,zMtCKMZlCy,20.00,2020-02-02 12:48:23,SE,0
0.29538461538461536,THB,zMtCKMZlCy,20.00,2020-02-02 12:48:23,SE,0
0.14769230769230768,THB,zMtCKMZlCy,10.00,2020-02-02 12:48:23,SE,0
0.1820610687022901,THB,1nnRj4C00c,20.00,2020-02-02 14:37:32,SE,0
0.14769230769230768,THB,zMtCKMZlCy,10.00,2020-02-02 12:48:23,SE,0
1.4291793893129774,THB,1nnRj4C00c,157.00,2020-02-02 14:37:32,SE,0
0.14769230769230768,THB,zMtCKMZlCy,10.00,2020-02-02 12:48:23,SE,0
0.3186068702290077,THB,1nnRj4C00c,35.00,2020-02-02 14:37:32,SE,0
0.14769230769230768,THB,zMtCKMZlCy,10.00,2020-02-02 12:48:23,SE,0
0.7646564885496184,THB,1nnRj4C00c,84.00,2020-02-02 14:37:32,SE,0
0.14769230769230768,THB,zMtCKMZlCy,10.00,2020-02-02 12:48:23,SE,0
1.6021374045801529,THB,1nnRj4C00c,176.00,2020-02-02 14:37:32,SE,0
0.14769230769230768,THB,zMtCKMZlCy,10.00,2020-02-02 12:48:23,SE,0
1.4200763358778627,THB,1nnRj4C00c,156.00,2020-02-02 14:37:32,SE,0
0.29538461538461536,THB,zMtCKMZlCy,20.00,2020-02-02 12:48:23,SE,0
0.14769230769230768,THB,zMtCKMZlCy,10.00,2020-02-02 12:48:23,SE,0
0.8920992366412215,THB,1nnRj4C00c,98.00,2020-02-02 14:37:32,SE,0
0.7555534351145039,THB,1nnRj4C00c,83.00,2020-02-02 14:37:32,SE,0
0.9649236641221376,THB,1nnRj4C00c,106.00,2020-02-02 14:37:32,SE,0
2.17,THB,2M9UdHR75j,239.00,2020-02-02 14:37:17,SE,0
